unitCode,unitTitle,type
RIIVEH306D,Operate mine service vehicle,Elective
RIIVEH307E,Operate heavy rigid vehicle,Elective
RIIWHS201D,Work safely and follow WHS policies and procedures,Core
RIIWHS301D,Conduct safety and health investigations,Elective
TLIC3004,Drive heavy rigid vehicle,Elective
TLID2022,Conduct weighbridge operations,Elective
TLILIC0002,Licence to operate a vehicle loading crane (capacity 10 metre tonnes and above),Elective
TLILIC0005,Licence to operate a boom-type elevating work platform (boom length 11 metres or more),Elective
TLILIC0006,Licence to operate a bridge and gantry crane,Elective
TLILIC0010,Licence to operate a slewing mobile crane (up to 20 tonnes),Elective
TLILIC2016,Licence to drive a heavy rigid vehicle,Elective
TLILIC3017,Licence to drive a heavy combination vehicle,Elective
TLILIC3018,Licence to drive a multi-combination vehicle,Elective
